url,commit,components,gating_findings,reader_defects,reader_classes,gating_missed,notes
https://github.com/jarrodwatts/claude-hud,ef5f1c8b167572ad1443c70629763ea8780af96b,3,,,,,
https://github.com/0xmariowu/AgentLint,7a22cf6d1ccfc225b08e9422887e731db2dc219a,10,,,,,
https://github.com/shareAI-lab/learn-claude-code,04486201fc6541285513ccfab45d59a7871e042d,4,,,,,
https://github.com/tombelieber/claude-view,ff3cdd161babf21d31f6f3232fe7a072c14ddd53,2,mcp/unpinned-package,,,,
https://github.com/artisansplatform/artisanscloud.com-website,540de239270cee389356c9ec942899462edc1c59,6,,,,,
https://github.com/ToluVictor/canvas-apps-tools,b371d02f3db33eecc08c8961ea574f82414567aa,1,,,,,
https://github.com/langchain-ai/openwiki,27d835cc617019795065ea0b30d9eb23e62b9789,4,,,,,
https://github.com/minsight-ai-info/AI-Search-Hub,afcc7411335c8b194e309f06af7d189448d0b0e2,1,,,,,
https://github.com/binqi20/management-research-notes,de1fd1e53228ace2385d63a95b449935a5ed9782,5,,,,,
https://github.com/atomchung/long-run-hybrid-coach,dc8f3f7a60466dd40aaa27a0e21870162b5808ea,3,,,,,
https://github.com/agentprism/agentprism-workflows,aae69f21e5de50ec9e2623460f6e64c856680825,3,,,,,
https://github.com/FlourishHealth/terreno,f794b4d4255a51514256e236feb8ea154108d8f7,223,cross/overpermissive-grants,,,,
https://github.com/Yangyang96/goal-orchestration,ed6cddb801372b8743cca7b0057557383f4c5817,1,,,,,
https://github.com/kongyoongkeong-lab/openclaw-workspace,0d11045742f25893a9bb5290b7dc33188bc66c6f,3,,,,,
https://github.com/himiyosh/tech-dashboard,ad26db9a071cd56babacce577b977fd739a65036,18,,,,,
https://github.com/zamushwani/biomedical-ai-skills,d9dfcfa2a929dc1137a58d1030d62481683ec2c9,23,,,,,
https://github.com/imMamdouhaboammar/agent-kernel,2bce486c106a2caff022143465696823634ec85e,9,,,,,
https://github.com/paperboytm/spool,4c94d68d9ba00b01053250393fd0eb2e1342f50d,3,cross/multi-assistant-drift,,,,
https://github.com/hyperformant/vibecarbon,d5d9a1e4674c5c841dfb2b4726468435c2aa4ae9,12,cross/overpermissive-grants,,,,
https://github.com/eugeniughelbur/obsidian-second-brain,c93ce3f2b94524e1e2bf592007ba64534f5ef234,47,,,,,
https://github.com/huangjia2019/claude-code-engineering,89fea03bf9d577c608bce49c66d942996e801b19,7,mcp/unpinned-package,,,,
https://github.com/madarco/agentbox,9c79b1b974283ca2afaa28e58432e7e8fe6fe2e8,3,,,,,
https://github.com/Innocent-children/dev-flow,9fced305e7eedbb275b5c8040b00ef1109d3dc35,2,,,,,
https://github.com/rohitg00/pro-workflow,7f7209d7215bced7d651209ef050c77953c298d6,65,,,,,
https://github.com/eai-support/eai-gofer,27e4886b1cc09c87d1aa0f905652c89d30558919,58,,,,,
https://github.com/taishi-i/awesome-ChatGPT-repositories,aa9243004820ebef3aeb8a71fadfaf7ea32c50d6,2,,,,,
https://github.com/breferrari/obsidian-mind,1d367af3c78f36b2e9d16244dcaa103385bd0321,43,,,,,
https://github.com/julian-razif-figaro-workspaces/sample-web-api,f413f9886c3642d8cdcb51a42c6691cebba4e959,5,,,,,
https://github.com/jkkma/uindosill,24d4f6d97a1351ef370d1b53f1997cf7b278fd7f,2,,,,,
https://github.com/iPythoning/claude-cursor-config-nextjs,767bf88e8dfee42853989f1be9cb3470f5b37797,3,,,,,
